Site_ID,Latitude,Longitude,Elevation_in_Meters,State,Species_ID,Genus,Species,Common_Name,Kingdom,Individual_ID,Phenophase_ID,Phenophase_Description,First_Yes_Year,First_Yes_Month,First_Yes_Day,First_Yes_DOY,First_Yes_Julian_Date,NumDays_Since_Prior_No,Last_Yes_Year,Last_Yes_Month,Last_Yes_Day,Last_Yes_DOY,Last_Yes_Julian_Date,NumDays_Until_Next_No,AGDD,AGDD_in_F,Tmax_Winter,Tmax_Spring,Tmax_Summer,Tmax_Fall,Tmin_Winter,Tmin_Spring,Tmin_Summer,Tmin_Fall,Prcp_Winter,Prcp_Spring,Prcp_Summer,Prcp_Fall,Accum_Prcp,Daylength
2348,35.926178,-78.692719,129,NC,228,Prunus,yedoensis,Yoshino cherry,Plantae,4931,501,Open flowers,2009,3,29,88,2454920,-9999,2009,3,29,88,2454920,-9999,583.75,1050.75,11.91,21.46,30.93,21.07,-0.35,8.83,19.66,8.96,241,383,280,437,330,44237
2348,35.926178,-78.692719,129,NC,228,Prunus,yedoensis,Yoshino cherry,Plantae,4931,501,Open flowers,2010,3,24,83,2455280,3,2010,3,25,84,2455281,11,423.5,762.3,8.73,22.93,32.55,21.53,-2.14,9.29,21.04,10.31,383,282,285,373,243,43546
2424,35.875225,-78.737076,118,NC,228,Prunus,yedoensis,Yoshino cherry,Plantae,5076,501,Open flowers,2010,3,22,81,2455278,1,2010,3,28,87,2455284,-9999,403.75,726.75,8.76,22.92,32.59,21.62,-2.03,9.39,21.09,10.41,394,264,271,308,221,43200
5399,38.886761,-77.041016,2,DC,228,Prunus,yedoensis,Yoshino cherry,Plantae,11222,501,Open flowers,2011,4,5,95,2455657,-9999,2011,4,5,95,2455657,-9999,436.25,785.25,5.82,19.61,31.6,21.39,-3.07,8.47,20.46,9.7,171,301,361,316,266,45274
5399,38.886761,-77.041016,2,DC,228,Prunus,yedoensis,Yoshino cherry,Plantae,11223,501,Open flowers,2011,4,5,95,2455657,-9999,2011,4,5,95,2455657,-9999,436.25,785.25,5.82,19.61,31.6,21.39,-3.07,8.47,20.46,9.7,171,301,361,316,266,45274
5399,38.886761,-77.041016,2,DC,228,Prunus,yedoensis,Yoshino cherry,Plantae,11224,501,Open flowers,2011,4,5,95,2455657,-9999,2011,4,5,95,2455657,-9999,436.25,785.25,5.82,19.61,31.6,21.39,-3.07,8.47,20.46,9.7,171,301,361,316,266,45274
3,35.879211,-84.172203,284,TN,227,Prunus,serrulata,Japanese flowering cherry,Plantae,37258,501,Open flowers,2011,4,9,99,2455661,6,2011,4,9,99,2455661,12,726.25,1307.25,7.91,21.8,32.07,22.97,-2.42,9.21,19.66,8.95,289,472,260,369,433,45619
6432,37.799515,-122.412834,46,CA,227,Prunus,serrulata,Japanese flowering cherry,Plantae,18716,501,Open flowers,2012,3,29,89,2456016,34,2012,3,29,89,2456016,20,1008,1814.4,15.31,17.6,20.84,20.26,6.63,8.82,11.6,11.14,129,245,4,103,284,44237
6432,37.799515,-122.412834,46,CA,227,Prunus,serrulata,Japanese flowering cherry,Plantae,18717,501,Open flowers,2012,3,29,89,2456016,34,2012,3,29,89,2456016,20,1008,1814.4,15.31,17.6,20.84,20.26,6.63,8.82,11.6,11.14,129,245,4,103,284,44237
6432,37.799515,-122.412834,46,CA,227,Prunus,serrulata,Japanese flowering cherry,Plantae,18716,501,Open flowers,2013,3,23,82,2456375,11,2013,3,23,82,2456375,-9999,890.5,1602.9,14.51,19.51,21.72,20.16,6.11,9.28,12.49,11.18,248,60,12,210,52,43200
6432,37.799515,-122.412834,46,CA,227,Prunus,serrulata,Japanese flowering cherry,Plantae,18717,501,Open flowers,2013,3,23,82,2456375,11,2013,3,23,82,2456375,-9999,890.5,1602.9,14.51,19.51,21.72,20.16,6.11,9.28,12.49,11.18,248,60,12,210,52,43200
3,35.879211,-84.172203,284,TN,227,Prunus,serrulata,Japanese flowering cherry,Plantae,37258,501,Open flowers,2013,4,10,100,2456393,2,2013,4,24,114,2456407,4,629.5,1133.1,11.2,19.23,29.14,20.66,1.01,6.78,19,8.18,592,457,516,283,573,45965
10918,37.243382,-80.427132,651,VA,227,Prunus,serrulata,Japanese flowering cherry,Plantae,43410,501,Open flowers,2013,4,18,108,2456401,3,2013,5,2,122,2456415,-9999,431.5,776.7,7.37,15.1,25.89,17.22,-3.08,3.48,15.63,4.58,297,328,468,140,380,47002
3,35.879211,-84.172203,284,TN,227,Prunus,serrulata,Japanese flowering cherry,Plantae,37258,501,Open flowers,2014,4,6,96,2456754,11,2014,4,24,114,2456772,3,548,986.4,8.81,21.58,29.67,20.99,-2.73,7.58,18.37,9.15,414,289,435,276,306,45274
9044,44.272942,-73.947464,500,NY,1189,Prunus,pensylvanica,pin cherry,Plantae,46056,501,Open flowers,2014,5,23,143,2456801,4,2014,6,9,160,2456818,3,381,685.8,-3.87,8.76,23.52,12.28,-14.26,-4.62,11.22,0.75,211,316,377,288,422,53568
9044,44.272942,-73.947464,500,NY,1189,Prunus,pensylvanica,pin cherry,Plantae,46137,501,Open flowers,2014,5,23,143,2456801,8,2014,6,9,160,2456818,3,381,685.8,-3.87,8.76,23.52,12.28,-14.26,-4.62,11.22,0.75,211,316,377,288,422,53568
8901,35.590618,-83.470062,1794,TN,1189,Prunus,pensylvanica,pin cherry,Plantae,48481,501,Open flowers,2014,5,14,134,2456792,8,2014,5,14,134,2456792,18,562.25,1012.05,3.07,12.74,20.49,13.08,-6.93,2.02,11.54,3.15,668,371,587,381,668,49766
11837,35.562538,-83.497864,2017,NC,1189,Prunus,pensylvanica,pin cherry,Plantae,49725,501,Open flowers,2014,6,1,152,2456810,9,2014,6,1,152,2456810,-9999,707.5,1273.5,2.27,11.61,19.46,12.2,-7.41,1.56,10.85,2.6,715,409,585,402,816,51149
11837,35.562538,-83.497864,2017,NC,1189,Prunus,pensylvanica,pin cherry,Plantae,49732,501,Open flowers,2014,6,1,152,2456810,9,2014,6,1,152,2456810,-9999,707.5,1273.5,2.27,11.61,19.46,12.2,-7.41,1.56,10.85,2.6,715,409,585,402,816,51149
8309,39.731804,-104.961166,1639,CO,227,Prunus,serrulata,Japanese flowering cherry,Plantae,63896,501,Open flowers,2014,4,25,115,2456773,8,2014,5,20,140,2456798,7,555.5,999.9,7.18,17.2,29.21,18.31,-8.32,1.79,13.28,3.6,51,169,203,173,100,48384
8309,39.731804,-104.961166,1639,CO,227,Prunus,serrulata,Japanese flowering cherry,Plantae,63896,501,Open flowers,2014,6,3,154,2456812,7,2014,6,3,154,2456812,6,1093,1967.4,7.18,17.2,29.21,18.31,-8.32,1.79,13.28,3.6,51,169,203,173,208,52877
8309,39.731804,-104.961166,1639,CO,228,Prunus,yedoensis,Yoshino cherry,Plantae,63897,501,Open flowers,2014,3,30,89,2456747,6,2014,4,11,101,2456759,4,305,549,7.18,17.2,29.21,18.31,-8.32,1.79,13.28,3.6,51,169,203,173,67,44582
8309,39.731804,-104.961166,1639,CO,228,Prunus,yedoensis,Yoshino cherry,Plantae,63897,501,Open flowers,2014,4,17,107,2456765,2,2014,4,17,107,2456765,8,446.25,803.25,7.18,17.2,29.21,18.31,-8.32,1.79,13.28,3.6,51,169,203,173,93,47347
9044,44.272942,-73.947464,500,NY,1189,Prunus,pensylvanica,pin cherry,Plantae,67698,501,Open flowers,2014,5,23,143,2456801,4,2014,6,2,153,2456811,3,381,685.8,-3.87,8.76,23.52,12.28,-14.26,-4.62,11.22,0.75,211,316,377,288,422,53568
18536,40.866119,-73.879341,25,NY,228,Prunus,yedoensis,Yoshino cherry,Plantae,73380,501,Open flowers,2014,5,2,122,2456780,-9999,2014,5,2,122,2456780,4,517,930.6,3.62,15,27.82,18.41,-4.69,4.65,18.04,8.53,344,431,301,211,524,49766
18536,40.866119,-73.879341,25,NY,228,Prunus,yedoensis,Yoshino cherry,Plantae,73393,501,Open flowers,2014,5,2,122,2456780,-9999,2014,5,2,122,2456780,4,517,930.6,3.62,15,27.82,18.41,-4.69,4.65,18.04,8.53,344,431,301,211,524,49766
3,35.879211,-84.172203,284,TN,227,Prunus,serrulata,Japanese flowering cherry,Plantae,37258,501,Open flowers,2015,4,7,97,2457120,4,2015,4,22,112,2457135,3,572.5,1030.5,8.16,22.22,30.54,20.57,-2.11,9.14,19.1,8.86,343,307,554,283,371,45274
9044,44.272942,-73.947464,500,NY,1189,Prunus,pensylvanica,pin cherry,Plantae,46056,501,Open flowers,2015,5,18,138,2457161,4,2015,5,18,138,2457161,32,363,653.4,-4.69,10.4,23.16,12.2,-16.66,-3.47,10.49,2.02,180,207,476,206,247,52877
9044,44.272942,-73.947464,500,NY,1189,Prunus,pensylvanica,pin cherry,Plantae,46137,501,Open flowers,2015,5,18,138,2457161,4,2015,5,25,145,2457168,25,363,653.4,-4.69,10.4,23.16,12.2,-16.66,-3.47,10.49,2.02,180,207,476,206,247,52877
8901,35.590618,-83.470062,1794,TN,1189,Prunus,pensylvanica,pin cherry,Plantae,48480,501,Open flowers,2015,5,15,135,2457158,2,2015,5,22,142,2457165,5,588.25,1058.85,2.67,13.14,21,12.75,-6.63,3.11,11.96,3.07,434,475,537,477,732,50112
8901,35.590618,-83.470062,1794,TN,1189,Prunus,pensylvanica,pin cherry,Plantae,48480,501,Open flowers,2015,5,29,149,2457172,2,2015,6,2,153,2457176,3,772.75,1390.95,2.67,13.14,21,12.75,-6.63,3.11,11.96,3.07,434,475,537,477,755,51149
8901,35.590618,-83.470062,1794,TN,1189,Prunus,pensylvanica,pin cherry,Plantae,48481,501,Open flowers,2015,5,22,142,2457165,7,2015,6,2,153,2457176,3,680.25,1224.45,2.67,13.14,21,12.75,-6.63,3.11,11.96,3.07,434,475,537,477,748,50458
11837,35.562538,-83.497864,2017,NC,1189,Prunus,pensylvanica,pin cherry,Plantae,49725,501,Open flowers,2015,5,29,149,2457172,7,2015,6,2,153,2457176,3,696.5,1253.7,1.87,11.99,19.92,11.77,-7.14,2.57,11.3,2.52,470,492,577,514,796,51149
11837,35.562538,-83.497864,2017,NC,1189,Prunus,pensylvanica,pin cherry,Plantae,49732,501,Open flowers,2015,5,22,142,2457165,-9999,2015,6,5,156,2457179,7,610.5,1098.9,1.87,11.99,19.92,11.77,-7.14,2.57,11.3,2.52,470,492,577,514,788,50458
11837,35.562538,-83.497864,2017,NC,1189,Prunus,pensylvanica,pin cherry,Plantae,49734,501,Open flowers,2015,5,29,149,2457172,7,2015,6,5,156,2457179,7,696.5,1253.7,1.87,11.99,19.92,11.77,-7.14,2.57,11.3,2.52,470,492,577,514,796,51149
9044,44.272942,-73.947464,500,NY,1189,Prunus,pensylvanica,pin cherry,Plantae,67698,501,Open flowers,2015,5,18,138,2457161,4,2015,5,18,138,2457161,7,363,653.4,-4.69,10.4,23.16,12.2,-16.66,-3.47,10.49,2.02,180,207,476,206,247,52877
18536,40.866119,-73.879341,25,NY,228,Prunus,yedoensis,Yoshino cherry,Plantae,73380,501,Open flowers,2015,4,29,119,2457142,6,2015,4,29,119,2457142,7,428,770.4,2.85,16.05,28.65,18.13,-5.19,5.32,18.87,9.19,374,217,253,275,427,49421
18536,40.866119,-73.879341,25,NY,228,Prunus,yedoensis,Yoshino cherry,Plantae,73393,501,Open flowers,2015,4,29,119,2457142,6,2015,4,29,119,2457142,7,428,770.4,2.85,16.05,28.65,18.13,-5.19,5.32,18.87,9.19,374,217,253,275,427,49421
19941,38.451824,-87.360291,160,IN,228,Prunus,yedoensis,Yoshino cherry,Plantae,90460,501,Open flowers,2015,4,8,98,2457121,-9999,2015,4,8,98,2457121,-9999,372.25,670.05,3.91,18.9,29.14,18.25,-5.54,7.02,18.14,6.38,247,479,445,304,449,45965
21670,42.330338,-71.049316,1,MA,227,Prunus,serrulata,Japanese flowering cherry,Plantae,110240,501,Open flowers,2015,10,6,279,2457302,-9999,2015,11,13,317,2457340,39,3487.5,6277.5,1.87,14.45,26.82,17.3,-7.69,2.84,15.91,6.96,372,151,288,330,764,40435
8901,35.590618,-83.470062,1794,TN,1189,Prunus,pensylvanica,pin cherry,Plantae,48480,501,Open flowers,2016,5,17,138,2457526,6,2016,5,24,145,2457533,8,647.75,1165.95,4.26,13.06,22.57,14.31,-4.22,2.78,12.92,5.24,749,364,502,539,639,50112
8901,35.590618,-83.470062,1794,TN,1189,Prunus,pensylvanica,pin cherry,Plantae,48481,501,Open flowers,2016,5,17,138,2457526,6,2016,5,24,145,2457533,8,647.75,1165.95,4.26,13.06,22.57,14.31,-4.22,2.78,12.92,5.24,749,364,502,539,639,50112
18536,40.866119,-73.879341,25,NY,228,Prunus,yedoensis,Yoshino cherry,Plantae,73380,501,Open flowers,2016,3,25,85,2457473,7,2016,4,20,111,2457499,2,372.5,670.5,8.32,17.19,29.56,20.34,-0.16,6.78,19.52,10.33,324,211,228,238,225,43891
18536,40.866119,-73.879341,25,NY,228,Prunus,yedoensis,Yoshino cherry,Plantae,73393,501,Open flowers,2016,4,1,92,2457480,14,2016,4,15,106,2457494,7,444.25,799.65,8.32,17.19,29.56,20.34,-0.16,6.78,19.52,10.33,324,211,228,238,247,44928
8901,35.590618,-83.470062,1794,TN,1189,Prunus,pensylvanica,pin cherry,Plantae,48480,501,Open flowers,2017,5,18,138,2457892,4,2017,5,26,146,2457900,12,832.25,1498.05,5.81,12.74,20.78,16.38,-2.66,3.16,11.47,5.85,512,671,510,219,834,50112
8901,35.590618,-83.470062,1794,TN,1189,Prunus,pensylvanica,pin cherry,Plantae,48481,501,Open flowers,2017,5,18,138,2457892,4,2017,5,26,146,2457900,12,832.25,1498.05,5.81,12.74,20.78,16.38,-2.66,3.16,11.47,5.85,512,671,510,219,834,50112
11837,35.562538,-83.497864,2017,NC,1189,Prunus,pensylvanica,pin cherry,Plantae,49725,501,Open flowers,2017,5,18,138,2457892,-9999,2017,5,18,138,2457892,29,759,1366.2,4.9,11.63,19.73,15.34,-3.06,2.62,10.84,5.6,530,686,532,233,859,50112
11837,35.562538,-83.497864,2017,NC,1189,Prunus,pensylvanica,pin cherry,Plantae,49732,501,Open flowers,2017,5,18,138,2457892,-9999,2017,5,18,138,2457892,29,759,1366.2,4.9,11.63,19.73,15.34,-3.06,2.62,10.84,5.6,530,686,532,233,859,50112
11837,35.562538,-83.497864,2017,NC,1189,Prunus,pensylvanica,pin cherry,Plantae,49734,501,Open flowers,2017,5,18,138,2457892,-9999,2017,5,18,138,2457892,29,759,1366.2,4.9,11.63,19.73,15.34,-3.06,2.62,10.84,5.6,530,686,532,233,859,50112
18536,40.866119,-73.879341,25,NY,228,Prunus,yedoensis,Yoshino cherry,Plantae,73380,501,Open flowers,2017,4,11,101,2457855,6,2017,4,19,109,2457863,9,497.75,895.95,7.19,15.4,27.76,19.67,-0.46,6.16,18.32,10.28,278,410,326,370,386,46656
23676,46.996738,-94.696556,430,MN,1189,Prunus,pensylvanica,pin cherry,Plantae,114745,501,Open flowers,2017,5,9,129,2457883,-9999,2017,5,30,150,2457904,-9999,368.25,662.85,-3.97,11,24.88,13.96,-14.33,-1.26,11.99,3.97,88,115,268,181,130,52531
25451,35.177742,-80.848755,197,NC,228,Prunus,yedoensis,Yoshino cherry,Plantae,123035,501,Open flowers,2017,3,28,87,2457841,-9999,2017,3,28,87,2457841,-9999,885.25,1593.45,15.17,23.25,31.1,25.13,2.61,10.13,19.83,11.18,268,350,443,307,242,43891
26673,39.032318,-94.59211,272,MO,227,Prunus,serrulata,Japanese flowering cherry,Plantae,135309,501,Open flowers,2017,4,15,105,2457859,-9999,2017,4,15,105,2457859,-9999,777.75,1399.95,7.71,19.51,29.61,22.32,-3.77,7.8,18.52,10.43,65,366,674,179,179,47002
26736,40.667068,-73.991501,15,NY,227,Prunus,serrulata,Japanese flowering cherry,Plantae,135466,501,Open flowers,2017,4,20,110,2457864,-9999,2017,4,23,113,2457867,-9999,641.5,1154.7,7.46,15.45,27.73,19.76,-0.39,6.21,18.29,10.12,301,409,398,290,415,48038
18536,40.866119,-73.879341,25,NY,228,Prunus,yedoensis,Yoshino cherry,Plantae,73380,501,Open flowers,2018,4,18,108,2458227,7,2018,5,2,122,2458241,6,439,790.2,5.25,14.92,28.76,19.92,-2.82,5.77,19.44,10.33,303,385,479,209,525,47693
18536,40.866119,-73.879341,25,NY,228,Prunus,yedoensis,Yoshino cherry,Plantae,73380,501,Open flowers,2018,5,17,137,2458256,6,2018,5,17,137,2458256,6,869.25,1564.65,5.25,14.92,28.76,19.92,-2.82,5.77,19.44,10.33,303,385,479,209,600,51494
11610,47.279659,-92.168053,445,MN,1189,Prunus,pensylvanica,pin cherry,Plantae,78429,501,Open flowers,2018,5,28,148,2458267,-9999,2018,5,28,148,2458267,23,412.75,742.95,-8.02,9.6,24.2,10.45,-19.94,-4.75,11.15,0.15,78,93,313,287,126,55296
23676,46.996738,-94.696556,430,MN,1189,Prunus,pensylvanica,pin cherry,Plantae,114745,501,Open flowers,2018,5,16,136,2458255,3,2018,5,23,143,2458262,141,301.5,542.7,-6.74,11.02,25.41,11.94,-19.14,-2.27,14.02,1.13,51,73,293,179,89,53568
25451,35.177742,-80.848755,197,NC,228,Prunus,yedoensis,Yoshino cherry,Plantae,123035,501,Open flowers,2018,3,23,82,2458201,-9999,2018,3,23,82,2458201,-9999,665,1197,13.09,21.98,32.26,23.48,0.94,9.29,20.3,10.21,233,356,322,208,284,43200
26673,39.032318,-94.59211,272,MO,227,Prunus,serrulata,Japanese flowering cherry,Plantae,135309,501,Open flowers,2018,4,12,102,2458221,16,2018,4,12,102,2458221,-9999,397.5,715.5,5.28,18.71,31.51,20.53,-6.21,6.67,20.17,8.78,52,239,214,170,147,46310
27269,48.168194,-90.879684,436,MN,1189,Prunus,pensylvanica,pin cherry,Plantae,140176,501,Open flowers,2018,5,27,147,2458266,-9999,2018,5,27,147,2458266,-9999,367.25,661.05,-8.69,9.22,23.81,10.03,-20.86,-5.74,11.3,0.53,94,89,253,253,116,55642
28788,38.984661,-76.93821,24,MD,228,Prunus,yedoensis,Yoshino cherry,Plantae,150828,501,Open flowers,2018,4,2,92,2458211,7,2018,4,22,112,2458231,-9999,453,815.4,7.77,17.97,30.16,20.91,-1.79,7.47,20.32,10.41,169,364,498,180,204,44928
28788,38.984661,-76.93821,24,MD,228,Prunus,yedoensis,Yoshino cherry,Plantae,150830,501,Open flowers,2018,4,3,93,2458212,7,2018,4,17,107,2458226,-9999,460.5,828.9,7.77,17.97,30.16,20.91,-1.79,7.47,20.32,10.41,169,364,498,180,204,44928
28788,38.984661,-76.93821,24,MD,228,Prunus,yedoensis,Yoshino cherry,Plantae,150831,501,Open flowers,2018,4,3,93,2458212,6,2018,4,24,114,2458233,-9999,460.5,828.9,7.77,17.97,30.16,20.91,-1.79,7.47,20.32,10.41,169,364,498,180,204,44928
28790,38.991508,-76.950378,40,MD,228,Prunus,yedoensis,Yoshino cherry,Plantae,150834,501,Open flowers,2018,4,10,100,2458219,7,2018,4,23,113,2458232,-9999,505,909,7.59,17.8,29.9,20.74,-1.97,7.24,20.04,10.14,168,365,506,181,206,46310
28793,38.983994,-76.935974,21,MD,228,Prunus,yedoensis,Yoshino cherry,Plantae,150844,501,Open flowers,2018,4,2,92,2458211,5,2018,4,24,114,2458233,-9999,453,815.4,7.77,17.97,30.16,20.91,-1.79,7.47,20.32,10.41,169,364,498,180,204,44928
28793,38.983994,-76.935974,21,MD,228,Prunus,yedoensis,Yoshino cherry,Plantae,150845,501,Open flowers,2018,3,27,86,2458205,15,2018,4,23,113,2458232,-9999,386.5,695.7,7.77,17.97,30.16,20.91,-1.79,7.47,20.32,10.41,169,364,498,180,198,43891
28796,38.984314,-76.940369,38,MD,228,Prunus,yedoensis,Yoshino cherry,Plantae,150853,501,Open flowers,2018,4,6,96,2458215,7,2018,4,20,110,2458229,-9999,491.25,884.25,7.77,17.97,30.16,20.91,-1.79,7.47,20.32,10.41,169,364,498,180,205,45619
28796,38.984314,-76.940369,38,MD,228,Prunus,yedoensis,Yoshino cherry,Plantae,150854,501,Open flowers,2018,4,3,93,2458212,21,2018,4,17,107,2458226,6,460.5,828.9,7.77,17.97,30.16,20.91,-1.79,7.47,20.32,10.41,169,364,498,180,204,44928
28797,38.982372,-76.939468,31,MD,228,Prunus,yedoensis,Yoshino cherry,Plantae,150855,501,Open flowers,2018,4,3,93,2458212,6,2018,4,24,114,2458233,-9999,460.5,828.9,7.77,17.97,30.16,20.91,-1.79,7.47,20.32,10.41,169,364,498,180,204,44928
28797,38.982372,-76.939468,31,MD,228,Prunus,yedoensis,Yoshino cherry,Plantae,150856,501,Open flowers,2018,4,1,91,2458210,4,2018,4,18,108,2458227,5,443.25,797.85,7.77,17.97,30.16,20.91,-1.79,7.47,20.32,10.41,169,364,498,180,202,44928
28797,38.982372,-76.939468,31,MD,228,Prunus,yedoensis,Yoshino cherry,Plantae,150857,501,Open flowers,2018,4,4,94,2458213,7,2018,4,11,101,2458220,-9999,472.25,850.05,7.77,17.97,30.16,20.91,-1.79,7.47,20.32,10.41,169,364,498,180,205,45274
28716,44.935444,-123.031776,46,OR,227,Prunus,serrulata,Japanese flowering cherry,Plantae,151436,501,Open flowers,2018,3,20,79,2458198,7,2018,4,9,99,2458218,-9999,528.5,951.3,9.42,16.86,27.85,18.49,2.03,5.42,11.51,7.42,316,245,23,384,272,42854
28716,44.935444,-123.031776,46,OR,227,Prunus,serrulata,Japanese flowering cherry,Plantae,151437,501,Open flowers,2018,3,13,72,2458191,7,2018,4,9,99,2458218,-9999,479,862.2,9.42,16.86,27.85,18.49,2.03,5.42,11.51,7.42,316,245,23,384,250,41472
28716,44.935444,-123.031776,46,OR,227,Prunus,serrulata,Japanese flowering cherry,Plantae,151438,501,Open flowers,2018,3,13,72,2458191,7,2018,4,9,99,2458218,-9999,479,862.2,9.42,16.86,27.85,18.49,2.03,5.42,11.51,7.42,316,245,23,384,250,41472
28716,44.935444,-123.031776,46,OR,227,Prunus,serrulata,Japanese flowering cherry,Plantae,151439,501,Open flowers,2018,3,13,72,2458191,7,2018,4,9,99,2458218,-9999,479,862.2,9.42,16.86,27.85,18.49,2.03,5.42,11.51,7.42,316,245,23,384,250,41472
