year,location,bloom_doy
1922,kyoto,101.0
1922,washingtondc,97.0
1922,liestal,111.0
1923,kyoto,97.0
1923,washingtondc,99.0
1923,liestal,98.0
1924,kyoto,111.0
1924,washingtondc,104.0
1924,liestal,115.0
1925,liestal,104.0
1925,kyoto,108.0
1925,washingtondc,86.0
1926,kyoto,108.0
1926,washingtondc,101.0
1926,liestal,99.0
1927,kyoto,107.0
1927,liestal,108.0
1927,washingtondc,79.0
1928,liestal,105.0
1928,kyoto,107.0
1928,washingtondc,99.0
1929,kyoto,103.0
1929,washingtondc,90.0
1929,liestal,122.0
1930,liestal,109.0
1930,washingtondc,91.0
1930,kyoto,95.0
1931,washingtondc,101.0
1931,kyoto,105.0
1931,liestal,116.0
1932,kyoto,105.0
1932,washingtondc,106.0
1932,liestal,120.0
1933,washingtondc,99.0
1933,kyoto,106.0
1933,liestal,112.0
1934,liestal,106.0
1934,washingtondc,105.0
1934,kyoto,104.0
1935,kyoto,102.0
1935,washingtondc,91.0
1935,liestal,106.0
1936,liestal,100.0
1936,washingtondc,98.0
1936,kyoto,111.0
1937,liestal,101.0
1937,washingtondc,104.0
1937,kyoto,100.0
1938,kyoto,98.0
1938,washingtondc,84.0
1938,liestal,91.0
1939,liestal,105.0
1939,washingtondc,89.0
1939,kyoto,104.0
1940,washingtondc,104.0
1940,liestal,112.0
1940,kyoto,110.0
1941,kyoto,100.0
1941,washingtondc,102.0
1941,liestal,116.0
1942,liestal,114.0
1942,washingtondc,95.0
1942,kyoto,96.0
1943,liestal,102.0
1943,washingtondc,94.0
1943,kyoto,101.0
1944,kyoto,100.0
1944,washingtondc,100.0
1944,liestal,109.0
1945,liestal,92.0
1945,kyoto,100.05555555555556
1945,washingtondc,79.0
1946,kyoto,97.0
1946,washingtondc,82.0
1946,liestal,96.0
1947,washingtondc,102.0
1947,liestal,107.0
1947,kyoto,107.0
1948,kyoto,102.0
1948,washingtondc,88.0
1948,liestal,88.0
1949,kyoto,107.0
1949,washingtondc,88.0
1949,liestal,107.0
1950,liestal,100.0
1950,washingtondc,99.0
1950,kyoto,99.0
1951,kyoto,98.0
1951,washingtondc,96.0
1951,liestal,108.0
1952,kyoto,105.0
1952,washingtondc,100.0
1952,liestal,102.0
1953,washingtondc,86.0
1953,kyoto,101.0
1953,liestal,96.0
1954,kyoto,98.0
1954,washingtondc,96.0
1954,liestal,116.0
1955,kyoto,97.0
1955,washingtondc,92.0
1955,liestal,116.0
1956,kyoto,99.0
1956,washingtondc,97.0
1956,liestal,118.0
1957,kyoto,103.0
1957,washingtondc,98.0
1957,liestal,84.0
1958,kyoto,99.0
1958,washingtondc,108.0
1958,liestal,115.0
1959,kyoto,92.0
1959,washingtondc,96.0
1959,liestal,92.0
1960,liestal,94.0
1960,kyoto,95.0
1960,washingtondc,105.0
1961,liestal,79.0
1961,kyoto,99.0
1961,washingtondc,92.0
1962,liestal,115.0
1962,washingtondc,97.0
1962,kyoto,102.0
1963,kyoto,101.0
1963,washingtondc,93.0
1963,liestal,114.0
1964,kyoto,99.0
1964,washingtondc,102.0
1964,liestal,107.0
1965,liestal,102.0
1965,washingtondc,105.0
1965,kyoto,110.0
1966,liestal,98.0
1966,washingtondc,95.0
1966,kyoto,97.0
1967,kyoto,97.0
1967,washingtondc,96.0
1967,liestal,94.0
1968,liestal,103.0
1968,washingtondc,90.0
1968,kyoto,99.0
1969,kyoto,101.0
1969,washingtondc,99.0
1969,liestal,113.0
1970,kyoto,107.0
1970,washingtondc,106.0
1970,liestal,114.0
1971,washingtondc,98.0
1971,liestal,107.0
1971,kyoto,98.0
1972,kyoto,99.0
1972,washingtondc,102.0
1972,liestal,97.0
1973,washingtondc,101.0
1973,liestal,119.0
1973,kyoto,97.0
1974,kyoto,99.0
1974,washingtondc,93.0
1974,liestal,92.0
1975,liestal,108.0
1975,washingtondc,93.0
1975,kyoto,100.0
1976,kyoto,99.0
1976,washingtondc,83.0
1976,liestal,102.0
1977,kyoto,93.0
1977,washingtondc,85.0
1977,liestal,80.0
1978,washingtondc,102.0
1978,kyoto,104.0
1978,liestal,108.0
1979,washingtondc,92.0
1979,liestal,105.0
1979,kyoto,97.0
1980,kyoto,102.0
1980,washingtondc,97.0
1980,liestal,104.0
1981,washingtondc,93.0
1981,liestal,92.0
1981,kyoto,99.0
1982,kyoto,93.0
1982,washingtondc,97.0
1982,liestal,108.0
1983,liestal,101.0
1983,kyoto,99.0
1983,washingtondc,97.0
1984,liestal,110.0
1984,kyoto,109.0
1984,washingtondc,94.0
1985,washingtondc,97.0
1985,liestal,106.0
1985,kyoto,99.0
1986,kyoto,102.0
1986,washingtondc,92.0
1986,liestal,121.0
1987,washingtondc,87.0
1987,liestal,112.0
1987,kyoto,95.0
1988,kyoto,106.0
1988,washingtondc,91.0
1988,liestal,108.0
1989,liestal,87.0
1989,kyoto,93.0
1989,washingtondc,88.0
1990,washingtondc,74.0
1990,kyoto,88.0
1990,liestal,75.0
1991,kyoto,97.0
1991,washingtondc,88.0
1991,liestal,94.0
1992,kyoto,94.0
1992,washingtondc,98.0
1992,liestal,102.0
1993,washingtondc,101.0
1993,kyoto,97.0
1993,liestal,101.0
1994,kyoto,99.0
1994,washingtondc,95.0
1994,liestal,82.0
1995,kyoto,99.0
1995,washingtondc,92.0
1995,liestal,93.0
1996,washingtondc,95.0
1996,liestal,109.0
1996,kyoto,103.0
1997,kyoto,97.0
1997,washingtondc,85.0
1997,liestal,81.0
1998,washingtondc,86.0
1998,kyoto,91.0
1998,liestal,90.0
1999,kyoto,94.0
1999,washingtondc,95.0
1999,liestal,94.0
2000,liestal,92.0
2000,washingtondc,77.0
2000,kyoto,100.0
2001,liestal,89.0
2001,kyoto,96.0
2001,washingtondc,96.0
2002,kyoto,91.0
2002,washingtondc,92.0
2002,liestal,77.0
2003,washingtondc,92.0
2003,liestal,92.0
2003,kyoto,98.0
2004,liestal,92.0
2004,washingtondc,91.0
2004,kyoto,92.0
2005,liestal,95.0
2005,kyoto,99.0
2005,washingtondc,99.0
2006,liestal,111.0
2006,washingtondc,89.0
2006,kyoto,98.0
2007,kyoto,97.0
2007,washingtondc,91.0
2007,liestal,94.0
2008,kyoto,95.0
2008,washingtondc,86.0
2008,liestal,89.0
2009,washingtondc,91.0
2009,liestal,100.0
2009,kyoto,95.0
2010,kyoto,95.0
2010,liestal,98.0
2010,washingtondc,90.0
2011,kyoto,99.0
2011,washingtondc,88.0
2011,liestal,90.0
2012,kyoto,101.0
2012,washingtondc,80.0
2012,liestal,93.0
2013,liestal,107.0
2013,washingtondc,99.0
2013,kyoto,93.0
2014,liestal,84.0
2014,kyoto,94.0
2014,washingtondc,100.0
2015,kyoto,93.0
2015,washingtondc,100.0
2015,liestal,101.0
2016,liestal,97.0
2016,kyoto,95.0
2016,washingtondc,85.0
2017,liestal,85.0
2017,kyoto,99.0
2017,washingtondc,84.0
2018,kyoto,89.0
2018,washingtondc,95.0
2018,liestal,98.0
2019,kyoto,95.0
2019,washingtondc,91.0
2019,liestal,86.0
2020,washingtondc,80.0
2020,kyoto,92.0
2020,liestal,77.0
2021,washingtondc,87.0
2021,kyoto,85.0
2021,liestal,87.0
2022,washingtondc,80.0
2022,kyoto,91.0
2022,liestal,85.0
